d_code;d_name;s_name;s_value
105;Panic disorder;Anxiety and nervousness;88
105;Panic disorder;Depression;55
105;Panic disorder;Shortness of breath;40
105;Panic disorder;Depressive or psychotic symptoms;33
105;Panic disorder;Sharp chest pain;33
105;Panic disorder;Dizziness;24
105;Panic disorder;Insomnia;18
105;Panic disorder;Abnormal involuntary movements;16
105;Panic disorder;Chest tightness;14
105;Panic disorder;Palpitations;13
105;Panic disorder;Irregular heartbeat;11
105;Panic disorder;Breathing fast;10
106;Vocal cord polyp;Hoarse voice;91
106;Vocal cord polyp;Sore throat;47
106;Vocal cord polyp;Difficulty speaking;27
106;Vocal cord polyp;Cough;27
106;Vocal cord polyp;Nasal congestion;27
106;Vocal cord polyp;Throat swelling;19
106;Vocal cord polyp;Diminished hearing;19
106;Vocal cord polyp;Lump in throat;19
106;Vocal cord polyp;Throat feels tight;11
106;Vocal cord polyp;Difficulty in swallowing;11
106;Vocal cord polyp;Skin swelling;11
106;Vocal cord polyp;Retention of urine;11
107;Turner syndrome;Groin mass;27
107;Turner syndrome;Leg pain;27
107;Turner syndrome;Hip pain;27
107;Turner syndrome;Suprapubic pain;27
107;Turner syndrome;Blood in stool;27
107;Turner syndrome;Lack of growth;27
107;Turner syndrome;Diminished hearing;27
107;Turner syndrome;Depression;27
107;Turner syndrome;Emotional symptoms;2
107;Turner syndrome;Elbow weakness;2
107;Turner syndrome;Back weakness;2
107;Turner syndrome;Pus in sputum;2
108;Cryptorchidism;Symptoms of the scrotum and testes;50
108;Cryptorchidism;Swelling of scrotum;16
108;Cryptorchidism;Pain in testicles;9
108;Cryptorchidism;Flatulence;9
108;Cryptorchidism;Pus draining from ear;9
108;Cryptorchidism;Jaundice;9
108;Cryptorchidism;Mass in scrotum;9
108;Cryptorchidism;Lack of growth;9
108;Cryptorchidism;White discharge from eye;9
108;Cryptorchidism;Irritable infant;9
109;Poisoning due to ethylene glycol;Abusing alcohol;78
109;Poisoning due to ethylene glycol;Fainting;64
109;Poisoning due to ethylene glycol;Hostile behavior;45
109;Poisoning due to ethylene glycol;Drug abuse;45
109;Poisoning due to ethylene glycol;Depressive or psychotic symptoms;45
109;Poisoning due to ethylene glycol;Sharp abdominal pain;29
109;Poisoning due to ethylene glycol;Feeling ill;29
109;Poisoning due to ethylene glycol;Vomiting;29
109;Poisoning due to ethylene glycol;Headache;29
109;Poisoning due to ethylene glycol;Depression;29
109;Poisoning due to ethylene glycol;Nausea;29
109;Poisoning due to ethylene glycol;Diarrhea;29
110;Atrophic vaginitis;Vaginal itching;45
110;Atrophic vaginitis;Vaginal dryness;45
110;Atrophic vaginitis;Painful urination;40
110;Atrophic vaginitis;Involuntary urination;36
110;Atrophic vaginitis;Pain during intercourse;31
110;Atrophic vaginitis;Frequent urination;25
110;Atrophic vaginitis;Lower abdominal pain;22
110;Atrophic vaginitis;Suprapubic pain;22
110;Atrophic vaginitis;Vaginal discharge;18
110;Atrophic vaginitis;Blood in urine;14
110;Atrophic vaginitis;Hot flashes;14
110;Atrophic vaginitis;Intermenstrual bleeding;14
111;Fracture of the hand;Hand or finger pain;71
111;Fracture of the hand;Wrist pain;67
